First Name,Last Name,Role,Year,Location
A. S.,Watkins,President,1903-1904,Micanopy
H. L.,Hyde,Secretary,1903-1904,Gainseville
M. E.,Baker,Board of Education Memmber,1903-1904,Orange Home
L. W.,Lovell,Board of Education Memmber,1903-1904,Jacksonville
K.,Porter,Board of Education Memmber,1903-1904,Jacksonville
W. H.,Watson,Board of Education Memmber,1903-1904,Kissimmee
R. L.,Brown,Board of Education Memmber,1903-1904,Ocala
H. T.,Watkins,Executive Committee Member,1903-1904,Micanopy
B. A.,Hyde,Executive Committee Member,1903-1904,Gainseville
C. E.,Brown,Executive Committee Member,1903-1904,Ocala
M. M.,Bullock,Board of Visitors ,1903-1904,Ocala
E.,Robles,Board of Visitors ,1903-1904,Tampa
C. St. J.,Himes,Board of Visitors ,1903-1904,Palatka
L. O.,Pound,Superintendent,1903-1904,
G. M.,Hughes,Faculty: Commandant and Professor of Military Science and Tactics,1903-1904,
T. C.,Floyd,Faculty: Professor of Natural Science and Physical Culture,1903-1904,
E. P.,Lynch,Faculty: Assitant Commandant and Professor of Mathematics,1903-1904,
L. J.,Oliphant,Faculty: Professor of Mental and Moral Science,1903-1904,
H. R.,Spillman,Faculty: Professor Ancient and Modern Languages,1903-1904,
W. G.,McBeath,Faculty: Professor of English Language and Literature,1903-1904,
C. L.,Cassels,Faculty: Professor of History and Civics,1903-1904,
M. B.,Davis,Faculty: Dean and Professor of Law,1903-1904,
R. W. ,Rivers,Faculty: Professor of Law,1903-1904,
A. T.,Matheson,Faculty: Professor of Law,1903-1904,
M. P.,Wade Hampton,Faculty: Lecturer of Law,1903-1904,
W. A.,Brinson,Faculty: Principle and Professor of Commercial Law and Book-keeping,1903-1904,
I. J.,Wimberly,Faculty: Elocution and Literature,1903-1904,
J. T. ,Cassels,Faculty: Piano and Vocal Music,1903-1904,
E. G.,Denby,Faculty: Piano and Voice,1903-1904,
S. M.,Cassels,Faculty: Matron at Dormatory,1903-1904,
D. F.,McKinstry,Faculty: Resident Physician,1903-1904,
C.,Watkins,President,1902-1903,Micanopy
A. T.,Hyde,Secretary,1902-1903,Gainseville
E. D.,Baker,Board of Education Memmber,1902-1903,Orange Home
G. R.,Lovell,Board of Education Memmber,1902-1903,Jacksonville
E. T.,Porter,Board of Education Memmber,1902-1903,Jacksonville
H.,Watson,Board of Education Memmber,1902-1903,Kissimmee
H. E.,Brown,Board of Education Memmber,1902-1903,Ocala
M. E.,Watkins,Executive Committee Member,1902-1903,Micanopy
J. G.,Hyde,Executive Committee Member,1902-1903,Gainseville
C. H.,Brown,Executive Committee Member,1902-1903,Ocala
B.,Bullock,Board of Visitors ,1902-1903,Ocala
M.,Robles,Board of Visitors ,1902-1903,Tampa
B. S.,Himes,Board of Visitors ,1902-1903,Palatka
,Guilliams,"Superintendent and Faculty: Political Economy, Mental Science, Logic and Pedadogy",1902-1903,
Dr. J. D. ,Hughes,Faculty: Commandant and Professor of Military Science and Tactics,1902-1903,
Mr. G. W.,Floyd,Faculty: Professor of Natural Science and Physical Culture,1902-1903,
Hon. D. H. ,Lynch,Faculty: Assitant Commandant and Professor of Mathematics,1902-1903,
