Last Name,First and Middle,Area,Role,Years Served,,,,,,,,,,,,,,
Westcott,James Jr.,Florida,Senator: Florida,1845-1849,,,,,,,,,,,,,,
Yulee,David Levy,Hernando,Senator: Florida,1845-1851,,,,,,,,,,,,,,
Stephan ,Mallory,Escambia,Senator: Florida,1851-1861,,,,,,,,,,,,,,
Yulee,David Levy,Hernando,Senator: Florida,1855-1861,,,,,,,,,,,,,,
Morton,Jackson,Santa Rosa,Senator: Florida,1861-1862,,,,,,,,,,,,,,
Andonijah,Welch,Escambia,Senator: Florida,1868-1869,,,,,,,,,,,,,,
Osborn,Thomas W.,Escambia,Senator: Florida,1868-1873,,,,,,,,,,,,,,
Abijah,Gilbert,St. Johns,Senator: Florida,1869-1875,,,,,,,,,,,,,,
Conover,Simon B.,Columbia,Senator: Florida,1873-1879,,,,,,,,,,,,,,
Jones,Charles W.,Escambia,Senator: Florida,1875-1887,,,,,,,,,,,,,,
Call,WIlkinson,Duval,Senator: Florida,1879-1897,,,,,,,,,,,,,,
Pasco,Samual,Hillsborough,Senator: Florida,1887-1899,,,,,,,,,,,,,,
Mallory,Stephan Jr.,Escambia,Senator: Florida,1891-1907,,,,,,,,,,,,,,
Taliaferro,James,Duval,Senator: Florida,1899-1911,,,,,,,,,,,,,,
Bryan,William James,Orange,Senator: Florida,1907-1908,,,,,,,,,,,,,,
Milton,William Hall,Jackson,Senator: Florida,1908-1909,,,,,,,,,,,,,,
Fletcher,Duncan Upshaw,Duval,Senator: Florida,1909-1936,,,,,,,,,,,,,,
Bryan,Nathan Philemon,Duval,Senator: Florida,1911-1917,,,,,,,,,,,,,,
Moseley,WIlliam Dunn,Putnum,Governor: Florida,1845-1849,,,,,,,,,,,,,,
Brown,Thomas,Leon,Governor: Florida,1849-1853,,,,,,,,,,,,,,
Broome,James Emilius,Leon,Governor: Florida,1853-1857,,,,,,,,,,,,,,
Perry,Madison Starke,Alachua,Governor: Florida,1857-1861,,,,,,,,,,,,,,
Milton ,John,Jackson,Governor: Florida,1861-1865,,,,,,,,,,,,,,
Allison,Abraham Kurkindolle,Franklin,Governor: Florida,1865-1865,,,,,,,,,,,,,,
Marvin,William,Monroe,Governor: Florida,1847-1863,,,,,,,,,,,,,,
Walker,David Shelby,Leon,Governor: Florida,1865-1868,,,,,,,,,,,,,,
Reed,Harison,Duval,Governor: Florida,1868-1873,,,,,,,,,,,,,,
Hart,Ossian Bingley,Duval,Governor: Florida,1873-1874,,,,,,,,,,,,,,
Stearns,Marcelluis Lovejoy,Gadsend,Governor: Florida,1874-1877,,,,,,,,,,,,,,
Drew,George Franklin,Duval,Governor: Florida,1877-1881,,,,,,,,,,,,,,
Bloxham,William D.,Leon,Governor: Florida,1881-1885,,,,,,,,,,,,,,
Perry,Edward P. ,Escambia,Governor: Florida,1885-1889,,,,,,,,,,,,,,
Flemming,Francis,Duval,Governor: Florida,1889-1893,,,,,,,,,,,,,,
Mitchell,Henry Laurens,Hillsborough,Governor: Florida,1893-1897,,,,,,,,,,,,,,
Bloxham,William D.,Leon,Governor: Florida,1897-1901,,,,,,,,,,,,,,
Jennings,William SHerman ,Hernando,Governor: Florida,1901-1905,,,,,,,,,,,,,,
